ACNR,TITEL,AUTOR,LIBRETTIST,JAHR,BARCODE,SIGNATUR,IMAGES,LINK_ALMA,LINK_ASTOR,
AC14316009,I Satiri in Arcadia,"Conti, Francesco",,1714,+Z269905700,Mus.Hs.17191/2,48,https://data.onb.ac.at/rec/AC14316009,https://data.onb.ac.at/dtl/9104320,
AC14316009,I Satiri in Arcadia,"Conti, Francesco",,1714,+Z269905608,Mus.Hs.17191/3,36,https://data.onb.ac.at/rec/AC14316009,https://data.onb.ac.at/dtl/9104246,
AC14316009,I Satiri in Arcadia,"Conti, Francesco",,1714,+Z269905505,Mus.Hs.17191/4,32,https://data.onb.ac.at/rec/AC14316009,https://data.onb.ac.at/dtl/9104180,
AC14316010,L'Atenaide,"Ziani, Marc' Antonio",,1714,+Z269920002,Mus.Hs.17193/1,58,https://data.onb.ac.at/rec/AC14316010,https://data.onb.ac.at/dtl/9080092,
AC14316010,L'Atenaide,"Ziani, Marc' Antonio",,1714,+Z269919309,Mus.Hs.17193/2,58,https://data.onb.ac.at/rec/AC14316010,https://data.onb.ac.at/dtl/9079336,
AC14316010,L'Atenaide,"Ziani, Marc' Antonio",,1714,+Z269919206,Mus.Hs.17193/3,46,https://data.onb.ac.at/rec/AC14316010,https://data.onb.ac.at/dtl/9079454,
AC14316010,L'Atenaide,"Ziani, Marc' Antonio",,1714,+Z269919103,Mus.Hs.17193/4,74,https://data.onb.ac.at/rec/AC14316010,https://data.onb.ac.at/dtl/9079720,
AC14316011,Alba Cornelia,"Conti, Francesco","Stampiglia, Silvio",1714,+Z190895001,Mus.Hs.17194/1,204,https://data.onb.ac.at/rec/AC14316011,https://data.onb.ac.at/dtl/6463585,
AC14316011,Alba Cornelia,"Conti, Francesco","Stampiglia, Silvio",1714,+Z190894902,Mus.Hs.17194/2,174,https://data.onb.ac.at/rec/AC14316011,https://data.onb.ac.at/rep/131CD655,
AC14316011,Alba Cornelia,"Conti, Francesco","Stampiglia, Silvio",1714,+Z19089480X,Mus.Hs.17194/3,154,https://data.onb.ac.at/rec/AC14316011,https://data.onb.ac.at/dtl/6461037,
AC14316012,Alba Cornelia,"Conti, Francesco","Averara, Pietro <<d'>>",1714,+Z19111770X,Mus.Hs.17195/1,50,https://data.onb.ac.at/rec/AC14316012,https://data.onb.ac.at/dtl/5563663,
AC14316012,Alba Cornelia,"Conti, Francesco","Averara, Pietro <<d'>>",1714,+Z191117607,Mus.Hs.17195/2,50,https://data.onb.ac.at/rec/AC14316012,https://data.onb.ac.at/dtl/5564255,
AC14316012,Alba Cornelia,"Conti, Francesco","Averara, Pietro <<d'>>",1714,+Z191117504,Mus.Hs.17195/3,34,https://data.onb.ac.at/rec/AC14316012,https://data.onb.ac.at/dtl/5564804,
AC14316012,Alba Cornelia,"Conti, Francesco","Averara, Pietro <<d'>>",1714,+Z191117401,Mus.Hs.17195/4,32,https://data.onb.ac.at/rec/AC14316012,https://data.onb.ac.at/dtl/5567997,
AC14316013,Teseo in Creta,"Conti, Francesco","Pariati, Pietro",1715,+Z142606304,Mus.Hs.17196/1,190,https://data.onb.ac.at/rec/AC14316013,https://data.onb.ac.at/rep/131BADDE,
AC14316013,Teseo in Creta,"Conti, Francesco","Pariati, Pietro",1715,+Z142606407,Mus.Hs.17196/2,236,https://data.onb.ac.at/rec/AC14316013,https://data.onb.ac.at/rep/131BADDD,
AC14316013,Teseo in Creta,"Conti, Francesco","Pariati, Pietro",1715,+Z14260650X,Mus.Hs.17196/3,208,https://data.onb.ac.at/rec/AC14316013,https://data.onb.ac.at/rep/131BADDC,
AC14316014,Teseo in Creta,"Conti, Francesco",,1715,+Z269914208,Mus.Hs.17197/1,46,https://data.onb.ac.at/rec/AC14316014,https://data.onb.ac.at/dtl/9075490,
AC14316014,Teseo in Creta,"Conti, Francesco",,1715,+Z269914300,Mus.Hs.17197/2,46,https://data.onb.ac.at/rec/AC14316014,https://data.onb.ac.at/dtl/9075584,
AC14316014,Teseo in Creta,"Conti, Francesco",,1715,+Z269914403,Mus.Hs.17197/3,42,https://data.onb.ac.at/rec/AC14316014,https://data.onb.ac.at/dtl/9075678,
AC14316014,Teseo in Creta,"Conti, Francesco",,1715,+Z269913502,Mus.Hs.17197/4,58,https://data.onb.ac.at/rec/AC14316014,https://data.onb.ac.at/dtl/9075764,
AC14316015,Il finto Policare,"Conti, Francesco","Pariati, Pietro",1716,+Z191117206,Mus.Hs.17208/1,248,https://data.onb.ac.at/rec/AC14316015,https://data.onb.ac.at/dtl/5568064,
AC14316015,Il finto Policare,"Conti, Francesco","Pariati, Pietro",1716,+Z191117103,Mus.Hs.17208/2,228,https://data.onb.ac.at/rec/AC14316015,https://data.onb.ac.at/dtl/5563773,
AC14316015,Il finto Policare,"Conti, Francesco","Pariati, Pietro",1716,+Z191117000,Mus.Hs.17208/3,222,https://data.onb.ac.at/rec/AC14316015,https://data.onb.ac.at/dtl/5563106,
AC14316016,Il finto Policare,"Conti, Francesco",,1716,+Z26991340X,Mus.Hs.17209/1,46,https://data.onb.ac.at/rec/AC14316016,https://data.onb.ac.at/dtl/9177596,
AC14316016,Il finto Policare,"Conti, Francesco",,1716,+Z269916709,Mus.Hs.17209/2,42,https://data.onb.ac.at/rec/AC14316016,https://data.onb.ac.at/dtl/9177142,
AC14316016,Il finto Policare,"Conti, Francesco",,1716,+Z269916606,Mus.Hs.17209/3,38,https://data.onb.ac.at/rec/AC14316016,https://data.onb.ac.at/dtl/9177228,
AC14316016,Il finto Policare,"Conti, Francesco",,1716,+Z269916503,Mus.Hs.17209/4,22,https://data.onb.ac.at/rec/AC14316016,https://data.onb.ac.at/dtl/9177872,
AC14316017,Sesostri Re Di Egitto,"Conti, Francesco","Pariati, Pietro",1717,+Z191120709,Mus.Hs.17210/1,252,https://data.onb.ac.at/rec/AC14316017,https://data.onb.ac.at/dtl/8793958,
AC14316017,Sesostri Re Di Egitto,"Conti, Francesco","Pariati, Pietro",1717,+Z191121507,Mus.Hs.17210/2,202,https://data.onb.ac.at/rec/AC14316017,https://data.onb.ac.at/dtl/8784599,
AC14316017,Sesostri Re Di Egitto,"Conti, Francesco","Pariati, Pietro",1717,+Z269919802,Mus.Hs.17210/3,230,https://data.onb.ac.at/rec/AC14316017,https://data.onb.ac.at/dtl/8785005,
AC14316018,Sesostri Re di Egitto,"Conti, Francesco",,1717,+Z191121106,Mus.Hs.17211/1,96,https://data.onb.ac.at/rec/AC14316018,https://data.onb.ac.at/dtl/8935696,
AC14316018,Sesostri Re di Egitto,"Conti, Francesco",,1717,+Z269917404,Mus.Hs.17211/2,50,https://data.onb.ac.at/rec/AC14316018,https://data.onb.ac.at/dtl/8936028,
AC14316018,Sesostri Re di Egitto,"Conti, Francesco",,1717,+Z269917301,Mus.Hs.17211/3,44,https://data.onb.ac.at/rec/AC14316018,https://data.onb.ac.at/dtl/8936130,
AC14316018,Sesostri Re di Egitto,"Conti, Francesco",,1717,+Z269917209,Mus.Hs.17211/4,68,https://data.onb.ac.at/rec/AC14316018,https://data.onb.ac.at/dtl/8935890,
AC14316019,Amore in Tessaglia,"Conti, Francesco","Pariati, Pietro",1718,+Z135591300,Mus.Hs.17212,354,https://data.onb.ac.at/rec/AC14316019,https://data.onb.ac.at/dtl/5112085,
AC14316020,Amore in Tessaglia,"Conti, Francesco",,1718,+Z269912108,Mus.Hs.17213/1,66,https://data.onb.ac.at/rec/AC14316020,https://data.onb.ac.at/dtl/8936220,
AC14316020,Amore in Tessaglia,"Conti, Francesco",,1718,+Z269912200,Mus.Hs.17213/2,34,https://data.onb.ac.at/rec/AC14316020,https://data.onb.ac.at/dtl/8936416,
AC14316020,Amore in Tessaglia,"Conti, Francesco",,1718,+Z269912303,Mus.Hs.17213/3,30,https://data.onb.ac.at/rec/AC14316020,https://data.onb.ac.at/dtl/8936354,
AC14316020,Amore in Tessaglia,"Conti, Francesco",,1718,+Z269912406,Mus.Hs.17213/4,54,https://data.onb.ac.at/rec/AC14316020,https://data.onb.ac.at/dtl/8936486,
AC14316021,Galatea Vendicata,"Conti, Francesco","Pariati, Pietro",1719,+Z190805309,Mus.Hs.17214,406,https://data.onb.ac.at/rec/AC14316021,https://data.onb.ac.at/dtl/8806818,
AC14316022,Galatea vendicata,"Conti, Francesco",,1719,+Z269913009,Mus.Hs.17215/1,108,https://data.onb.ac.at/rec/AC14316022,https://data.onb.ac.at/dtl/8902142,
AC14316022,Galatea vendicata,"Conti, Francesco",,1719,+Z269918305,Mus.Hs.17215/2,62,https://data.onb.ac.at/rec/AC14316022,https://data.onb.ac.at/dtl/8901760,
AC14316022,Galatea vendicata,"Conti, Francesco",,1719,+Z269918408,Mus.Hs.17215/3,54,https://data.onb.ac.at/rec/AC14316022,https://data.onb.ac.at/dtl/8901886,
AC14316022,Galatea vendicata,"Conti, Francesco",,1719,+Z269918500,Mus.Hs.17215/4,58,https://data.onb.ac.at/rec/AC14316022,https://data.onb.ac.at/dtl/8902750,
AC14316023,Pallade trionfante,"Conti, Francesco",,1722,+Z269911402,Mus.Hs.17216,322,https://data.onb.ac.at/rec/AC14316023,https://data.onb.ac.at/dtl/8848410,
AC14316024,Pallade trionfante,"Conti, Francesco",,1722,+Z269917003,Mus.Hs.17217/1,38,https://data.onb.ac.at/rec/AC14316024,https://data.onb.ac.at/dtl/9039734,
AC14316024,Pallade trionfante,"Conti, Francesco",,1722,+Z269916904,Mus.Hs.17217/2,38,https://data.onb.ac.at/rec/AC14316024,https://data.onb.ac.at/dtl/9039656,
AC14316024,Pallade trionfante,"Conti, Francesco",,1722,+Z269916801,Mus.Hs.17217/3,30,https://data.onb.ac.at/rec/AC14316024,https://data.onb.ac.at/dtl/9039594,
AC14316024,Pallade trionfante,"Conti, Francesco",,1722,+Z269917702,Mus.Hs.17217/4,38,https://data.onb.ac.at/rec/AC14316024,https://data.onb.ac.at/dtl/9039812,
AC14316025,Creso,"Conti, Francesco",,1723,+Z191113900,Mus.Hs.17218/1,194,https://data.onb.ac.at/rec/AC14316025,https://data.onb.ac.at/dtl/5556149,
AC14316025,Creso,"Conti, Francesco",,1723,+Z191113808,Mus.Hs.17218/2,202,https://data.onb.ac.at/rec/AC14316025,https://data.onb.ac.at/dtl/5555695,
AC14316025,Creso,"Conti, Francesco",,1723,+Z191113705,Mus.Hs.17218/3,190,https://data.onb.ac.at/rec/AC14316025,https://data.onb.ac.at/dtl/5555312,
AC14316025,Creso,"Conti, Francesco",,1723,+Z191113602,Mus.Hs.17218/4,204,https://data.onb.ac.at/rec/AC14316025,https://data.onb.ac.at/dtl/5554901,
AC14316025,Creso,"Conti, Francesco",,1723,+Z19111350X,Mus.Hs.17218/5,148,https://data.onb.ac.at/rec/AC14316025,https://data.onb.ac.at/dtl/5554602,
AC14316026,Creso,"Conti, Francesco",,1723,+Z26991290X,Mus.Hs.17219/1,80,https://data.onb.ac.at/rec/AC14316026,https://data.onb.ac.at/dtl/8806498,
AC14316026,Creso,"Conti, Francesco",,1723,+Z269912807,Mus.Hs.17219/2,82,https://data.onb.ac.at/rec/AC14316026,https://data.onb.ac.at/dtl/8808506,
AC14316026,Creso,"Conti, Francesco",,1723,+Z269913101,Mus.Hs.17219/3,50,https://data.onb.ac.at/rec/AC14316026,https://data.onb.ac.at/dtl/8808672,
AC14316026,Creso,"Conti, Francesco",,1723,+Z26991810X,Mus.Hs.17219/4,78,https://data.onb.ac.at/rec/AC14316026,https://data.onb.ac.at/dtl/8806660,
AC14316027,La Via del Saggio,"Conti, Francesco","Pariati, Pietro",1721,+Z190914603,Mus.Hs.17220/1,222,https://data.onb.ac.at/rec/AC14316027,https://data.onb.ac.at/dtl/8839140,
AC14316027,La Via del Saggio,"Conti, Francesco","Pariati, Pietro",1721,+Z190914500,Mus.Hs.17220/2,228,https://data.onb.ac.at/rec/AC14316027,https://data.onb.ac.at/dtl/8838682,
AC14316028,La via del saggio,"Conti, Francesco",,1721,+Z269927100,Mus.Hs.17221/1,49,https://data.onb.ac.at/rec/AC14316028,https://data.onb.ac.at/dtl/9104516,
AC14316028,La via del saggio,"Conti, Francesco",,1721,+Z269927604,Mus.Hs.17221/2,50,https://data.onb.ac.at/rec/AC14316028,https://data.onb.ac.at/dtl/9104686,
AC14316028,La via del saggio,"Conti, Francesco",,1721,+Z269927501,Mus.Hs.17221/3,34,https://data.onb.ac.at/rec/AC14316028,https://data.onb.ac.at/dtl/9104616,
AC14316028,La via del saggio,"Conti, Francesco",,1721,+Z269927707,Mus.Hs.17221/4,46,https://data.onb.ac.at/rec/AC14316028,https://data.onb.ac.at/dtl/9104788,
AC14316029,Il trionfo della Fama,"Conti, Francesco","Fozio, Francesco",1723,+Z269927409,Mus.Hs.17222,322,https://data.onb.ac.at/rec/AC14316029,https://data.onb.ac.at/dtl/8949590,
AC14316030,Il trionfo della Fama,"Conti, Francesco",,1723,+Z269927008,Mus.Hs.17223/1,52,https://data.onb.ac.at/rec/AC14316030,https://data.onb.ac.at/dtl/9076426,
AC14316030,Il trionfo della Fama,"Conti, Francesco",,1723,+Z269926909,Mus.Hs.17223/2,38,https://data.onb.ac.at/rec/AC14316030,https://data.onb.ac.at/dtl/9076348,
AC14316030,Il trionfo della Fama,"Conti, Francesco",,1723,+Z269926806,Mus.Hs.17223/3,26,https://data.onb.ac.at/rec/AC14316030,https://data.onb.ac.at/dtl/9076294,
AC14316030,Il trionfo della Fama,"Conti, Francesco",,1723,+Z269926405,Mus.Hs.17223/4,22,https://data.onb.ac.at/rec/AC14316030,https://data.onb.ac.at/dtl/9076248,
AC14316031,Meleagro,"Conti, Francesco","Pariati, Pietro",1724,+Z269926302,Mus.Hs.17224,474,https://data.onb.ac.at/rec/AC14316031,https://data.onb.ac.at/dtl/9039890,
AC14316032,Meleagro,"Conti, Francesco",,1724,+Z26992620X,Mus.Hs.17225/1,82,https://data.onb.ac.at/rec/AC14316032,https://data.onb.ac.at/dtl/8847686,
AC14316032,Meleagro,"Conti, Francesco",,1724,+Z269926107,Mus.Hs.17225/2,50,https://data.onb.ac.at/rec/AC14316032,https://data.onb.ac.at/dtl/8847852,
AC14316032,Meleagro,"Conti, Francesco",,1724,+Z269926004,Mus.Hs.17225/3,46,https://data.onb.ac.at/rec/AC14316032,https://data.onb.ac.at/dtl/8847954,
AC14316032,Meleagro,"Conti, Francesco",,1724,+Z269925802,Mus.Hs.17225/4,50,https://data.onb.ac.at/rec/AC14316032,https://data.onb.ac.at/dtl/8848048,
AC14316033,Penelope,"Conti, Francesco",,1724,+Z269940803,Mus.Hs.17227/1,80,https://data.onb.ac.at/rec/AC14316033,https://data.onb.ac.at/dtl/8830248,
AC14316033,Penelope,"Conti, Francesco",,1724,+Z269941108,Mus.Hs.17227/2,62,https://data.onb.ac.at/rec/AC14316033,https://data.onb.ac.at/dtl/8830622,
AC14316033,Penelope,"Conti, Francesco",,1724,+Z269941005,Mus.Hs.17227/3,38,https://data.onb.ac.at/rec/AC14316033,https://data.onb.ac.at/dtl/8830544,
AC14316033,Penelope,"Conti, Francesco",,1724,+Z269940906,Mus.Hs.17227/4,66,https://data.onb.ac.at/rec/AC14316033,https://data.onb.ac.at/dtl/8830410,
AC14316034,Elisa,"Fux, Johann Joseph",,1719,+Z269934906,Mus.Hs.17228/1,248,https://data.onb.ac.at/rec/AC14316034,https://data.onb.ac.at/dtl/8809356,
AC14316034,Elisa,"Fux, Johann Joseph",,1719,+Z269924901,Mus.Hs.17228/2,224,https://data.onb.ac.at/rec/AC14316034,https://data.onb.ac.at/dtl/9044314,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269939205,Mus.Hs.17229/1,70,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8796288,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269939102,Mus.Hs.17229/2,42,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8796202,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z26993900X,Mus.Hs.17229/3,46,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8793864,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269938900,Mus.Hs.17229/4,42,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8796116,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269938808,Mus.Hs.17229/5,38,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8796038,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269938705,Mus.Hs.17229/6,34,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8795968,
AC14316035,Elisa,"Fux, Johann Joseph",,1719,+Z269938602,Mus.Hs.17229/7,54,https://data.onb.ac.at/rec/AC14316035,https://data.onb.ac.at/dtl/8795858,
AC14316036,Orfeo ed Euridice,"Fux, Johann Joseph",,1715,+Z269927306,Mus.Hs.17232/1,34,https://data.onb.ac.at/rec/AC14316036,https://data.onb.ac.at/dtl/8839718,
AC14316036,Orfeo ed Euridice,"Fux, Johann Joseph",,1715,+Z269926703,Mus.Hs.17232/2,34,https://data.onb.ac.at/rec/AC14316036,https://data.onb.ac.at/dtl/8839648,
AC14316036,Orfeo ed Euridice,"Fux, Johann Joseph",,1715,+Z269926600,Mus.Hs.17232/3,30,https://data.onb.ac.at/rec/AC14316036,https://data.onb.ac.at/dtl/8839586,
AC14316036,Orfeo ed Euridice,"Fux, Johann Joseph",,1715,+Z26993380X,Mus.Hs.17232/4,50,https://data.onb.ac.at/rec/AC14316036,https://data.onb.ac.at/dtl/8838502,
AC14316037,Isicratea,"Conti, Francesco",,1726,+Z269941303,Mus.Hs.17236,358,https://data.onb.ac.at/rec/AC14316037,https://data.onb.ac.at/dtl/9040840,
AC14316038,Isicratea,"Conti, Francesco",,1726,+Z269934608,Mus.Hs.17237/1,38,https://data.onb.ac.at/rec/AC14316038,https://data.onb.ac.at/dtl/9215764,
AC14316038,Isicratea,"Conti, Francesco",,1726,+Z269934505,Mus.Hs.17237/2,38,https://data.onb.ac.at/rec/AC14316038,https://data.onb.ac.at/dtl/9215686,
AC14316038,Isicratea,"Conti, Francesco",,1726,+Z269934402,Mus.Hs.17237/3,34,https://data.onb.ac.at/rec/AC14316038,https://data.onb.ac.at/dtl/9215546,
AC14316038,Isicratea,"Conti, Francesco",,1726,+Z269924500,Mus.Hs.17237/4,34,https://data.onb.ac.at/rec/AC14316038,https://data.onb.ac.at/dtl/9215616,
AC14316039,Griselda,"Conti, Francesco","Zeno, Apostolo",1725,+Z190943809,Mus.Hs.17238/1,280,https://data.onb.ac.at/rec/AC14316039,https://data.onb.ac.at/dtl/5268239,
AC14316039,Griselda,"Conti, Francesco","Zeno, Apostolo",1725,+Z190943901,Mus.Hs.17238/2,354,https://data.onb.ac.at/rec/AC14316039,https://data.onb.ac.at/dtl/5266431,
AC14316039,Griselda,"Conti, Francesco","Zeno, Apostolo",1725,+Z190944000,Mus.Hs.17238/3,238,https://data.onb.ac.at/rec/AC14316039,https://data.onb.ac.at/dtl/5263773,
AC14316040,Griselda,"Conti, Francesco",,1725,+Z269925309,Mus.Hs.17239/1,98,https://data.onb.ac.at/rec/AC14316040,https://data.onb.ac.at/dtl/9132898,
AC14316040,Griselda,"Conti, Francesco",,1725,+Z269925206,Mus.Hs.17239/2,70,https://data.onb.ac.at/rec/AC14316040,https://data.onb.ac.at/dtl/9132756,
AC14316040,Griselda,"Conti, Francesco",,1725,+Z269925103,Mus.Hs.17239/3,44,https://data.onb.ac.at/rec/AC14316040,https://data.onb.ac.at/dtl/9132666,
AC14316040,Griselda,"Conti, Francesco",,1725,+Z269925000,Mus.Hs.17239/4,62,https://data.onb.ac.at/rec/AC14316040,https://data.onb.ac.at/dtl/9132540,
AC14316041,L'Issipile,"Conti, Francesco","Metastasio, Pietro",1732,+Z269934104,Mus.Hs.17240/1,244,https://data.onb.ac.at/rec/AC14316041,https://data.onb.ac.at/dtl/9042358,
AC14316041,L'Issipile,"Conti, Francesco","Metastasio, Pietro",1732,+Z269934207,Mus.Hs.17240/2,208,https://data.onb.ac.at/rec/AC14316041,https://data.onb.ac.at/dtl/9041940,
AC14316041,L'Issipile,"Conti, Francesco","Metastasio, Pietro",1732,+Z26993430X,Mus.Hs.17240/3,190,https://data.onb.ac.at/rec/AC14316041,https://data.onb.ac.at/dtl/9041558,
AC14316042,L'Issipile,"Conti, Francesco",,1732,+Z269924603,Mus.Hs.17241/1,68,https://data.onb.ac.at/rec/AC14316042,https://data.onb.ac.at/dtl/9076016,
AC14316042,L'Issipile,"Conti, Francesco",,1732,+Z269924408,Mus.Hs.17241/2,66,https://data.onb.ac.at/rec/AC14316042,https://data.onb.ac.at/dtl/9075882,
AC14316042,L'Issipile,"Conti, Francesco",,1732,+Z269925607,Mus.Hs.17241/3,46,https://data.onb.ac.at/rec/AC14316042,https://data.onb.ac.at/dtl/9076154,
AC14316042,L'Issipile,"Conti, Francesco",,1732,+Z26992570X,Mus.Hs.17241/4,64,https://data.onb.ac.at/rec/AC14316042,https://data.onb.ac.at/dtl/9075002,
AC14316043,Pieria,"Conti, Ignazio","Pasquini, Giovanni Claudio",1728,+Z135591002,Mus.Hs.17243,278,https://data.onb.ac.at/rec/AC14316043,https://data.onb.ac.at/dtl/9045786,
AC14316044,Pieria,"Conti, Ignazio",,1728,+Z269945606,Mus.Hs.17244/1,50,https://data.onb.ac.at/rec/AC14316044,https://data.onb.ac.at/dtl/8935048,
AC14316044,Pieria,"Conti, Ignazio",,1728,+Z269945709,Mus.Hs.17244/2,30,https://data.onb.ac.at/rec/AC14316044,https://data.onb.ac.at/dtl/8935258,
AC14316044,Pieria,"Conti, Ignazio",,1728,+Z269945801,Mus.Hs.17244/3,30,https://data.onb.ac.at/rec/AC14316044,https://data.onb.ac.at/dtl/8935196,
AC14316044,Pieria,"Conti, Ignazio",,1728,+Z269945205,Mus.Hs.17244/4,22,https://data.onb.ac.at/rec/AC14316044,https://data.onb.ac.at/dtl/8935150,
AC14316045,La liberalita di Numa Pompilio,"Conti, Ignazio","Pasquini, Giovanni Claudio",1735,+Z269946301,Mus.Hs.17245,338,https://data.onb.ac.at/rec/AC14316045,https://data.onb.ac.at/dtl/8849056,
AC14316046,La liberalita di Numa Pompilio,"Conti, Ignazio",,1735,+Z269944900,Mus.Hs.17246/1,42,https://data.onb.ac.at/rec/AC14316046,https://data.onb.ac.at/dtl/8883998,
AC14316046,La liberalita di Numa Pompilio,"Conti, Ignazio",,1735,+Z269944808,Mus.Hs.17246/2,42,https://data.onb.ac.at/rec/AC14316046,https://data.onb.ac.at/dtl/8883912,
AC14316046,La liberalita di Numa Pompilio,"Conti, Ignazio",,1735,+Z269944705,Mus.Hs.17246/3,24,https://data.onb.ac.at/rec/AC14316046,https://data.onb.ac.at/dtl/8883862,
AC14316046,La liberalita di Numa Pompilio,"Conti, Ignazio",,1735,+Z269944602,Mus.Hs.17246/4,36,https://data.onb.ac.at/rec/AC14316046,https://data.onb.ac.at/dtl/8883788,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z232597805,Mus.Hs.17248/1,27,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7114668,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z232597702,Mus.Hs.17248/2,27,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7114760,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z23259760X,Mus.Hs.17248/3,27,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7114611,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z232597507,Mus.Hs.17248/4,27,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7114120,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z232597404,Mus.Hs.17248/5,19,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7111723,
AC14316048,Iulo Ascanio Re D'Alba,"Fux, Johann Joseph",,1712,+Z232597301,Mus.Hs.17248/6,31,https://data.onb.ac.at/rec/AC14316048,https://data.onb.ac.at/dtl/7113544,
AC14316049,Dafne in Lauro,"Fux, Johann Joseph","Pariati, Pietro",1714,+Z190935308,Mus.Hs.17249,244,https://data.onb.ac.at/rec/AC14316049,https://data.onb.ac.at/dtl/6466232,
AC14316050,Dafne in lauro,"Fux, Johann Joseph",,1714,+Z213949808,Mus.Hs.17250/1,34,https://data.onb.ac.at/rec/AC14316050,https://data.onb.ac.at/dtl/7678978,
AC14316050,Dafne in lauro,"Fux, Johann Joseph",,1714,+Z213949900,Mus.Hs.17250/2,38,https://data.onb.ac.at/rec/AC14316050,https://data.onb.ac.at/dtl/7682224,
AC14316050,Dafne in lauro,"Fux, Johann Joseph",,1714,+Z213950100,Mus.Hs.17250/3,26,https://data.onb.ac.at/rec/AC14316050,https://data.onb.ac.at/dtl/7682303,
AC14316050,Dafne in lauro,"Fux, Johann Joseph",,1714,+Z213950008,Mus.Hs.17250/4,38,https://data.onb.ac.at/rec/AC14316050,https://data.onb.ac.at/dtl/7681120,
AC14316053,Le nozze d'Aurora,"Fux, Johann Joseph","Pariati, Pietro",1722,+Z190828905,Mus.Hs.17262/1,436,https://data.onb.ac.at/rec/AC14316053,https://data.onb.ac.at/dtl/8807632,
AC14316053,Le nozze d'Aurora,"Fux, Johann Joseph","Pariati, Pietro",1722,+Z190828802,Mus.Hs.17262/2,398,https://data.onb.ac.at/rec/AC14316053,https://data.onb.ac.at/dtl/8832490,
AC14316054,Le nozze d'Aurora,"Fux, Johann Joseph",,1722,+Z269946003,Mus.Hs.17263/1,98,https://data.onb.ac.at/rec/AC14316054,https://data.onb.ac.at/dtl/8839938,
AC14316054,Le nozze d'Aurora,"Fux, Johann Joseph",,1722,+Z269946106,Mus.Hs.17263/2,60,https://data.onb.ac.at/rec/AC14316054,https://data.onb.ac.at/dtl/8840136,
AC14316054,Le nozze d'Aurora,"Fux, Johann Joseph",,1722,+Z269946209,Mus.Hs.17263/3,58,https://data.onb.ac.at/rec/AC14316054,https://data.onb.ac.at/dtl/8840258,
AC14316054,Le nozze d'Aurora,"Fux, Johann Joseph",,1722,+Z269945102,Mus.Hs.17263/4,74,https://data.onb.ac.at/rec/AC14316054,https://data.onb.ac.at/dtl/8839788,
AC14316055,Psiche,"Fux, Johann Joseph","Zeno, Apostolo",1720,+Z238585308,Mus.Hs.17264,343,https://data.onb.ac.at/rec/AC14316055,https://data.onb.ac.at/dtl/8422199,
AC14316056,Psiche,"Fux, Johann Joseph",,1720,+Z269951503,Mus.Hs.17265/1,74,https://data.onb.ac.at/rec/AC14316056,https://data.onb.ac.at/dtl/8884522,
AC14316056,Psiche,"Fux, Johann Joseph",,1720,+Z269951400,Mus.Hs.17265/2,52,https://data.onb.ac.at/rec/AC14316056,https://data.onb.ac.at/dtl/8884416,
AC14316056,Psiche,"Fux, Johann Joseph",,1720,+Z269951308,Mus.Hs.17265/3,42,https://data.onb.ac.at/rec/AC14316056,https://data.onb.ac.at/dtl/8884330,
AC14316056,Psiche,"Fux, Johann Joseph",,1720,+Z269944304,Mus.Hs.17265/4,54,https://data.onb.ac.at/rec/AC14316056,https://data.onb.ac.at/dtl/8883540,
AC14316057,Costanza e fortezza,"Fux, Johann Joseph","Pariati, Pietro",1723,+Z194789803,Mus.Hs.17266/1,372,https://data.onb.ac.at/rec/AC14316057,https://data.onb.ac.at/dtl/5992238,
